nombre,direccion,href
IPS Quirihue,José Joaquín Pérez N° 311,"https://www.google.com/maps/dir/-36.2822842,-72.5481318/@-36.2822842,-72.5481318,17z"
IPS Rancagua,Plaza Los Héroes 389,"https://www.google.com/maps/dir/-34.1700106,-70.7428241/@-34.1700106,-70.7428241,17z"
IPS Rengo,Urreola 355,"https://www.google.com/maps/dir/-34.4099009,-70.8592826/@-34.4099009,-70.8592826,17z"
IPS Río Bueno,Independencia 1000 Local 2,https://www.google.com/maps/dir/Independencia%201000%20Local%202
IPS Río negro,Vicuña Mackenna 277,https://www.google.com/maps/dir/Vicu%C3%B1a%20Mackenna%20277
IPS Salamanca,Calle Bulnes N° 214 Local C,https://www.google.com/maps/dir/Calle%20Bulnes%20N%C2%B0%20214%20Local%20C
IPS San Antonio,Avenida 5 Norte N° 222,https://www.google.com/maps/dir/Avenida%205%20Norte%20N%C2%B0%20222
IPS San Bernardo,Avda. Victoria 376,"https://www.google.com/maps/dir/-33.5917221,-70.7044977/@-33.5917221,-70.7044977,17z"
IPS San Carlos,Maipú 743,"https://www.google.com/maps/dir/-36.423659,-71.9605226/@-36.423659,-71.9605226,17z"
IPS San Clemente,Municipio Alejadro Cruz S/N,https://www.google.com/maps/dir/Municipio%20Alejadro%20Cruz%20S/N
IPS San Fco. de Mostazal,Independencia 1025-Biblioteca Municipal,"https://www.google.com/maps/dir/-33.9715124,-70.7141304/@-33.9715124,-70.7141304,17z"
IPS San Felipe,Calle Merced N° 872,https://www.google.com/maps/dir/Calle%20Merced%20N%C2%B0%20872
IPS San Fernando,Avda. Manuel Rodríguez 595,"https://www.google.com/maps/dir/-34.586845,-70.9919773/@-34.586845,-70.9919773,17z"
IPS San Javier,Arturo Prat 2662,"https://www.google.com/maps/dir/-35.5944255,-71.736929/@-35.5944255,-71.736929,17z"
IPS San José de la Mariquina,Mariquina 1030,https://www.google.com/maps/dir/Mariquina%201030
IPS San Miguel,Avda. José Miguel Carrera 4610,"https://www.google.com/maps/dir/-33.4960553,-70.6547903/@-33.4960553,-70.6547903,17z"
IPS San Vicente de TT,Arturo Prat 1090,"https://www.google.com/maps/dir/-34.4387607,-71.0789968/@-34.4387607,-71.0789968,17z"
IPS Santa Barbara,Manuel Rodríguez 11,"https://www.google.com/maps/dir/-37.6707983,-72.0232597/@-37.6707983,-72.0232597,17z"
IPS Santa Cruz,Nicolás Palacios 85,"https://www.google.com/maps/dir/-34.6392251,-71.3682571/@-34.6392251,-71.3682571,17z"
IPS Santiago Centro,San Pablo 2471,"https://www.google.com/maps/dir/-33.4349367,-70.6739195/@-33.4349367,-70.6739195,17z"
IPS Santo Domingo,Teatinos 601 Esq. Santo Domingo,"https://www.google.com/maps/dir/-33.4365675,-70.6577767/@-33.4365675,-70.6577767,17z"
IPS Talagante,Avda. Balmaceda 710 - Local 5,"https://www.google.com/maps/dir/-33.6615492,-70.9277149/@-33.6615492,-70.9277149,17z"
IPS Talca,2 Sur 5 Oriente 1196,"https://www.google.com/maps/dir/-35.4303172,-71.6660716/@-35.4303172,-71.6660716,17z"
IPS Talcahuano,Sargento Aldea N° 230,"https://www.google.com/maps/dir/-36.7148112,-73.1168708/@-36.7148112,-73.1168708,17z"
IPS Taltal,Serrano N° 679,"https://www.google.com/maps/dir/-25.4074776,-70.4861072/@-25.4074776,-70.4861072,17z"
IPS Tierra Amarilla,Miguel Lemur #536,"https://www.google.com/maps/dir/-27.353733,-70.3193332/@-27.353733,-70.3193332,17z"
